,id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,review_scores_rating,number_of_reviews
0,360,666,1,Highland,39.767033290455096,-105.00256405208928,Entire home/apt,5,1.0,2,2.0,140.0,35.0,100.0,3
2,592,933,1,North Park Hill,39.75437977674083,-104.91155676275874,Private room,2,1.0,1,1.0,42.0,10.0,97.0,142
3,686,990,1,North Capitol Hill,39.745029611203705,-104.97756400866716,Private room,2,2.0,1,1.0,70.0,10.0,95.0,232
6,21745,990,1,North Capitol Hill,39.74513091975909,-104.9790278299322,Private room,3,2.0,1,2.0,65.0,10.0,94.0,218
7,21746,990,1,North Capitol Hill,39.74487448923177,-104.97757971671415,Private room,2,2.0,1,1.0,60.0,10.0,97.0,237
8,31503,135298,1,West Highland,39.76215946117684,-105.02865987371432,Entire home/apt,2,1.0,1,1.0,110.0,0.0,96.0,37
9,39405,666,1,Highland,39.765883032014386,-105.00545175761248,Entire home/apt,2,1.0,1,2.0,111.0,35.0,98.0,501
11,56185,266051,0,North Park Hill,39.7532150955161,-104.93334501905636,Entire home/apt,8,3.0,4,4.0,300.0,150.0,98.0,63
13,59631,1496,1,Five Points,39.749472152591466,-104.97611259083284,Entire home/apt,4,2.5,2,2.0,179.0,80.0,96.0,138
15,81540,98912,1,Overland,39.66786893848025,-104.9896859782697,Entire home/apt,2,1.0,1,1.0,75.0,45.0,98.0,134
17,98008,297382,1,Five Points,39.74926575002117,-104.97481782374622,Private room,2,1.0,1,1.0,70.0,20.0,99.0,192
19,142683,692622,1,City Park,39.74145037663793,-104.94844997223436,Entire home/apt,4,1.5,2,2.0,145.0,80.0,94.0,259
20,172196,526354,0,Washington Park,39.696877017014224,-104.96231625479423,Entire home/apt,10,4.0,5,8.0,411.0,125.0,99.0,22
21,177942,448794,0,Union Station,39.75479735717703,-105.00516603243588,Entire home/apt,4,1.0,1,1.0,195.0,75.0,99.0,120
22,182353,874113,0,Hampden South,39.652828670327004,-104.9109892475856,Private room,2,1.0,1,2.0,80.0,15.0,98.0,88
24,217715,1124687,0,University Park,39.67063358459225,-104.95358558567192,Private room,2,1.0,1,1.0,89.0,0.0,100.0,14
26,242859,1275154,0,Cherry Creek,39.715579068675545,-104.94160352739357,Entire home/apt,4,1.0,2,2.0,150.0,100.0,98.0,82
29,287392,1396664,0,West Colfax,39.74285556607671,-105.04918470750118,Entire home/apt,6,2.0,3,2.0,250.0,150.0,,0
30,327500,1673900,1,Hampden South,39.63380023479617,-104.88626531038065,Private room,2,1.0,1,1.0,125.0,0.0,100.0,27
31,343936,1673900,1,Hampden South,39.63244095308672,-104.88677508809376,Entire home/apt,5,3.5,3,3.0,475.0,0.0,100.0,8
32,364585,930851,0,Washington Park West,39.69858948007849,-104.98130336008728,Entire home/apt,7,2.5,3,3.0,185.0,95.0,96.0,125
33,370209,269892,1,Baker,39.71816388685411,-104.9962038267015,Private room,2,1.0,1,2.0,70.0,10.0,99.0,48
34,440769,1810376,1,Clayton,39.766700631409186,-104.95498154172415,Private room,2,1.0,1,1.0,40.0,5.0,97.0,528
37,504080,2370964,1,Clayton,39.76586203290943,-104.95459470690592,Entire home/apt,4,2.0,2,2.0,145.0,60.0,97.0,44
38,509892,2512289,0,Hilltop,39.71798593883864,-104.92845158485173,Private room,1,1.0,1,1.0,85.0,0.0,100.0,5
40,548897,1313972,0,City Park,39.740647061586536,-104.95845572084312,Private room,2,1.0,1,1.0,85.0,40.0,95.0,144
41,575758,2832150,0,Five Points,39.76745503552546,-104.97948175643387,Entire home/apt,4,1.0,2,2.0,200.0,50.0,92.0,38
42,604803,666,1,Highland,39.76606162915647,-105.00505936134714,Entire home/apt,4,1.0,1,2.0,120.0,35.0,97.0,152
