,date,Madison,Chicago,day,month
14,2018-12-15,261.0,277.0,Saturday,December
15,2018-12-16,267.0,312.0,Sunday,December
16,2018-12-17,415.0,305.0,Monday,December
17,2018-12-18,261.0,332.0,Tuesday,December
18,2018-12-19,381.0,287.0,Wednesday,December
19,2018-12-20,409.0,277.0,Thursday,December
20,2018-12-21,321.0,285.0,Friday,December
21,2018-12-22,469.0,337.0,Saturday,December
22,2018-12-23,381.0,317.0,Sunday,December
23,2018-12-24,381.0,297.0,Monday,December
24,2018-12-25,321.0,302.0,Tuesday,December
25,2018-12-26,540.0,497.0,Wednesday,December
26,2018-12-27,402.0,429.0,Thursday,December
27,2018-12-28,628.0,350.0,Friday,December
28,2018-12-29,714.0,317.0,Saturday,December
29,2018-12-30,307.0,305.0,Sunday,December
30,2018-12-31,312.0,307.0,Monday,December
31,2019-01-01,162.0,190.0,Tuesday,January
32,2019-01-02,162.0,190.0,Wednesday,January
33,2019-01-03,162.0,190.0,Thursday,January
34,2019-01-04,321.0,190.0,Friday,January
35,2019-01-05,628.0,190.0,Saturday,January
36,2019-01-06,409.0,190.0,Sunday,January
37,2019-01-07,192.0,190.0,Monday,January
38,2019-01-08,261.0,230.0,Tuesday,January
39,2019-01-09,177.0,262.0,Wednesday,January
40,2019-01-10,415.0,222.0,Thursday,January
41,2019-01-11,261.0,230.0,Friday,January
42,2019-01-12,261.0,230.0,Saturday,January
43,2019-01-13,261.0,198.0,Sunday,January
44,2019-01-14,261.0,206.0,Monday,January
45,2019-01-15,177.0,198.0,Tuesday,January
46,2019-01-16,415.0,198.0,Wednesday,January
47,2019-01-17,261.0,198.0,Thursday,January
48,2019-01-18,261.0,198.0,Friday,January
49,2019-01-19,261.0,198.0,Saturday,January
50,2019-01-20,192.0,198.0,Sunday,January
51,2019-01-21,261.0,210.0,Monday,January
52,2019-01-22,177.0,198.0,Tuesday,January
53,2019-01-23,415.0,198.0,Wednesday,January
54,2019-01-24,261.0,198.0,Thursday,January
55,2019-01-25,261.0,198.0,Friday,January
56,2019-01-26,261.0,198.0,Saturday,January
57,2019-01-27,261.0,198.0,Sunday,January
58,2019-01-28,177.0,198.0,Monday,January
59,2019-01-29,415.0,198.0,Tuesday,January
60,2019-01-30,261.0,198.0,Wednesday,January
61,2019-01-31,261.0,206.0,Thursday,January
62,2019-02-01,162.0,190.0,Friday,February
