STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-CLDD-BASE45,DLY-CLDD-BASE50,DLY-CLDD-BASE55,DLY-CLDD-BASE57,DLY-CLDD-BASE60,DLY-CLDD-NORMAL,DLY-CLDD-BASE70,DLY-CLDD-BASE72,DLY-HTDD-BASE40,DLY-HTDD-BASE45,DLY-HTDD-BASE50,DLY-HTDD-BASE55,DLY-HTDD-BASE57,DLY-HTDD-BASE60,DLY-HTDD-NORMAL,DLY-PRCP-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100101,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.12,2.2,0.21,4.1,0.05,1.3,0.05,1.3,369,215,17,1,367,306,21,162,73,16.1,21.8,27.0,5.2,7.4,7.8,7.4,9.2
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100102,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.12,2.2,0.21,4.1,0.11,2.5,0.11,2.5,370,216,17,1,369,308,21,162,72,16.1,21.9,27.1,5.1,7.4,7.8,7.4,9.3
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100103,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.12,2.2,0.21,4.1,0.17,3.7,0.17,3.7,372,217,18,1,371,310,21,163,72,16.1,22.1,27.1,5.1,7.4,7.9,7.4,9.3
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100104,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.12,2.2,0.21,4.1,0.22,5.0,0.22,5.0,373,218,18,1,372,311,21,163,72,16.1,22.2,27.2,5.0,7.5,7.9,7.4,9.3
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100105,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.12,2.2,0.21,4.1,0.28,6.2,0.28,6.2,374,219,18,1,374,313,21,164,72,16.1,22.3,27.3,5.0,7.5,7.9,7.4,9.4
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100106,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.12,2.2,0.21,4.0,0.34,7.4,0.34,7.4,376,219,18,1,376,315,21,163,72,16.1,22.4,27.3,5.0,7.5,8.0,7.4,9.4
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100107,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.12,2.2,0.21,4.0,0.40,8.5,0.40,8.5,376,219,19,1,377,316,21,163,71,16.2,22.5,27.4,4.9,7.5,8.0,7.4,9.5
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100108,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.11,2.2,0.21,4.0,0.45,9.7,0.45,9.7,377,219,18,1,378,317,21,162,70,16.2,22.6,27.5,4.9,7.5,8.0,7.4,9.5
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100109,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.06,1.0,0.11,2.1,0.21,3.9,0.51,10.9,0.51,10.9,377,219,18,1,378,317,20,160,69,16.2,22.7,27.5,4.8,7.6,8.1,7.4,9.5
GHCND:USC00058575,VAIL CO US,2531.1,39.6394,-106.3538,20100110,0,0,0,0,0,0,0,0,24,29,34,39,41,44,49,0.05,1.0,0.11,2.1,0.21,3.9,0.57,12.2,0.57,12.2,376,218,18,1,378,317,20,158,67,16.2,22.8,27.6,4.8,7.6,8.1,7.5,9.6
