STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-25PCTL,Completeness Flag,DLY-SNOW-25PCTL,Completeness Flag,DLY-PRCP-50PCTL,Completeness Flag,DLY-SNOW-50PCTL,Completeness Flag,DLY-PRCP-75PCTL,Completeness Flag,DLY-SNOW-75PCTL,Completeness Flag,MTD-PRCP-NORMAL,Completeness Flag,MTD-SNOW-NORMAL,Completeness Flag,YTD-PRCP-NORMAL,Completeness Flag,YTD-SNOW-NORMAL,Completeness Flag,DLY-PRCP-PCTALL-GE001HI,Completeness Flag,DLY-PRCP-PCTALL-GE010HI,Completeness Flag,DLY-PRCP-PCTALL-GE050HI,Completeness Flag,DLY-PRCP-PCTALL-GE100HI,Completeness Flag,DLY-SNOW-PCTALL-GE001TI,Completeness Flag,DLY-SNOW-PCTALL-GE010TI,Completeness Flag,DLY-SNOW-PCTALL-GE100TI,Completeness Flag,DLY-SNOW-PCTALL-GE030TI,Completeness Flag,DLY-SNOW-PCTALL-GE050TI,Completeness Flag
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100101,0.03,C,0.9,C,0.07,C,1.5,C,0.18,C,3.0,C,0.04,R,0.7,S,0.04,R,0.7,S,351,C,152,C,11,C,-9999, ,351,C,263,C,1,C,90,C,32,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100102,0.03,C,0.9,C,0.07,C,1.5,C,0.18,C,2.9,C,0.09,R,1.5,S,0.09,R,1.5,S,352,C,152,C,11,C,-9999, ,351,C,263,C,1,C,90,C,31,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100103,0.03,C,0.9,C,0.07,C,1.5,C,0.18,C,2.9,C,0.13,R,2.2,S,0.13,R,2.2,S,352,C,152,C,11,C,-9999, ,352,C,264,C,1,C,90,C,30,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100104,0.03,C,0.9,C,0.07,C,1.5,C,0.18,C,2.9,C,0.17,R,3.0,S,0.17,R,3.0,S,352,C,151,C,11,C,-9999, ,352,C,265,C,1,C,90,C,30,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100105,0.03,C,0.9,C,0.07,C,1.5,C,0.18,C,2.9,C,0.21,R,3.8,S,0.21,R,3.8,S,352,C,151,C,11,C,-9999, ,352,C,265,C,1,C,89,C,29,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100106,0.03,C,0.9,C,0.07,C,1.5,C,0.18,C,2.9,C,0.25,R,4.5,S,0.25,R,4.5,S,352,C,150,C,10,C,-9999, ,352,C,265,C,1,C,89,C,29,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100107,0.03,C,0.9,C,0.07,C,1.5,C,0.18,C,2.9,C,0.29,R,5.3,S,0.29,R,5.3,S,352,C,150,C,10,C,-9999, ,352,C,265,C,1,C,88,C,28,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100108,0.03,C,1.0,C,0.07,C,1.5,C,0.18,C,2.9,C,0.33,R,6.0,S,0.33,R,6.0,S,352,C,150,C,10,C,-9999, ,351,C,265,C,1,C,88,C,28,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100109,0.03,C,1.0,C,0.07,C,1.5,C,0.18,C,2.9,C,0.37,R,6.7,S,0.37,R,6.7,S,351,C,149,C,10,C,-9999, ,351,C,265,C,1,C,88,C,28,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100110,0.03,C,1.0,C,0.07,C,1.5,C,0.18,C,2.9,C,0.40,R,7.5,S,0.40,R,7.5,S,351,C,148,C,9,C,0,C,350,C,265,C,1,C,88,C,28,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100111,0.03,C,1.0,C,0.07,C,1.5,C,0.18,C,2.9,C,0.44,R,8.2,S,0.44,R,8.2,S,350,C,148,C,9,C,0,C,350,C,265,C,1,C,87,C,27,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100112,0.03,C,1.0,C,0.07,C,1.5,C,0.18,C,2.9,C,0.48,R,9.0,S,0.48,R,9.0,S,350,C,147,C,9,C,0,C,349,C,264,C,1,C,87,C,27,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100113,0.03,C,1.0,C,0.07,C,1.5,C,0.18,C,2.8,C,0.52,R,9.8,S,0.52,R,9.8,S,350,C,146,C,9,C,0,C,349,C,264,C,1,C,87,C,27,C
GHCND:USC00050909,BRECKENRIDGE CO US,2920,39.4861,-106.043,20100114,0.03,C,1.0,C,0.07,C,1.5,C,0.18,C,2.8,C,0.57,R,10.5,S,0.57,R,10.5,S,350,C,146,C,8,C,0,C,349,C,264,C,1,C,87,C,27,C
